LABEL ,COMMENTS
Negative ,This movie was such a let down...
Negative ,Movie not worth it
Negative ,Looks like a waste of millions of dollars and 2 hours
Negative ,2022 and the dinosaurs still look fake as hell
Negative ,SUCKS
Neutral ,"Not only Spidermen got reunited, the doctors too"
Negative ,TRAAAAAAAAASSSSSHHHHHHH
Negative ,Movie is horrible
Neutral ,Is it out yet?
Positive ,Awesome. Can't wait for this movie to arrive. Always a treat to watch this cast and all the dinos create havic.
Positive ,2022 is a great year to be a movie fan
Positive ,Looks Awesome!
Positive ,I love that Alan grant returns
Negative ,This stupid trailer is super misleading
Positive ,Itsss gonnaaaa be epicccc ....
Neutral ,There is a dinosaur I saw from Ark survival
Positive ,We waiting ✋ 😌 😝
Positive ,Omg Allan Grant back
Negative  ,Shouldn't dinosaurs die in that cold temperature
Positive ,Awesome 👍😎❤️❤️
Positive ,It's going to be something EPIC 🤯
Neutral ,Help pls! Do I have to watch any of the other Jurassic movies before I watch this?
Negative ,Don't waste your money. It's crap.  Very poor ending the whole Jurassic franchise.
Negative ,It sucks
Neutral ,Is this the last ever Jurassic ?
Positive ,Great.  Now I'm craving Popcorn!
Positive ,This is going to be amazing
Positive ,I want to see the movie now
Neutral ,Cows go moo
Positive ,I’m soo hyped  it’s gonna look amazing and sooooooooo cool Dinosaur’s is cool and very very cute and the trailer is amazing!!!
Positive ,Omg the OGs
Positive ,I will watch this mainly for the original cast.
Neutral ,Where can I watch?
Neutral ,Anybody knows the release date?
Positive ,Good Trailer
Positive ,This is amust see
Positive ,yay
Negative ,Not good movie don't watch
Negative ,Terrible experience!!! Garbage plot
Negative ,Utter crap. Want my time and money back!
Positive ,"It looks great. It would’ve been fun to get Julianne Moore back for this one, too."
Neutral ,Blue. Had. A. Baby. 
Positive ,I CANT WAIT anY LONGER
Negative ,This is so fucking stupid
Negative ,"Utterly predictable, tiresomely Hollywood."
Negative ,Another film ruined by woke BS.
Neutral ,Watching it today
Positive ,OH MY GOSH IM SO EXCITEEEEDDDDDDD
Positive ,Can’t wait
Neutral ,I found a cure to covid-19
Positive ,I can't wait until the movie is out!🤑
Neutral ,Upload this one
Positive ,I love dinosaurs
Positive ,IM SO HYPED FOR THIS
Neutral ,What's the release date
Positive ,cant wait for this to come out  it looks amazingg
Positive ,the best movie ! 🤯😃
Negative ,THEY. DID. NOT.
Positive ,awesome!!! can't wait
Neutral ,Has anyone seen this movie?
Positive ,Yesss bc I love my Jurassic park/world ❤️❤️
Negative ,Most bullshit dinosaur movie ever made ??????
Positive ,amazing movie i can not stand waiting for it
Positive ,I like blue form jurassic world
Neutral ,It was an average movie.
Positive ,I'm a sucker for a dinosaur movie.
Negative ,I want my money back this movie was rubbish
Positive ,"I'm excited to see this movie, Shooted in my city"
Positive ,Unreal actually in tears
Neutral ,Is blue good or bad?
Negative ,Very dumb movi
Positive ,Waiting 👌🔥😍
Positive ,Im not gonna lie when i first saw this i cried a little
Positive ,I'm so pumped for this movie
Neutral ,My family has seen less of me because I'm too young
Positive ,Cool
Positive ,OMGGGG I CANT WAITTTT!!!
Negative ,This movie was one of the biggest disappointments of 2022
Neutral ,so so
Negative ,This movie sucked
Positive ,I can't wait for it at the cinema.  why is it taking so long
Positive ,Blue has a BABY YESS VERY COOL AND CUTE
Negative ,Bad movie
Positive ,Blue is a single mom. Wow.
Positive ,All legends in single movie.
Positive ,Yoooo let's goooooooooo!!! 🦖🦕🦖🦖🦕🦖🦕🦖🦖🦖🦕🦖🦕🦖🦖🦕🦕🦖🦕🦖🦖🦕🦕🦖🦖🦕🦖🦖🦖
Positive ,Damn...this looks really good...
Positive ,I´m so excited for this!🦖💚
Neutral ,When's Jurassic World Dominion Full Movie?
Positive ,I cant stop my tears of joy seeing this trailer..
Positive ,This is going to be soo much fun
Positive ,I love the slow version of the original song when Dr. Grant & Dr. Sattler show up ❤🦖🦕
Neutral ,2:10 I know that dinosaur from Cartoon shows
Positive ,Wow Dino blue
Positive ,This movie is gonna be EPIC!!!! I love Jurassic World/Park🦖🦖
Negative ,Can they stop with the whole ?thing. It's getting very cringey ??
Positive ,So cool and so wow because this is what I've been waiting for
Neutral ,Is it ark?
Positive ,This is so freaking epic
Positive ,Woah my sons gone love itttt
Neutral ,"Life will find a way, but will not find feathers"
Positive ,I think this is gonna be the best Jurassic film of all time
Positive ,Cant wait!!!
Positive ,This made me watch the Jurassic park trilogy all over again
Negative ,This was horribly awful
Positive ,I've seen something like this but I still love it. I'll see it again.
Neutral ,Im not a bot
Positive ,Can't wait to see this at the big screen!!!
Positive ,BRO IM DYING THIS IS GONNA BE AWESOMe !!!!!!!!!!!!!!
Positive ,Bro baby blue is the fucking cutest thing on world
Negative ,Badest Jurassic Movie EVER!
Neutral ,Adha water
Positive ,Definitely worth the wait
Positive ,Cant wait for the movie
Positive ,Waiting for it for 4 years
Neutral ,Actor Campbell Scott resembles Tim Cook. Did anyone notice the similarity?
Positive ,"I can’t wait, the original cast so excited!!"
Positive ,Finally they put realistic feathers on one.
Positive ,wow
Positive ,Amazing!
Negative ,Disappointing I really wanted to like this one
Neutral ,When it comes out
Negative ,This looks more a videogame with bad graphics than a movie.
Negative ,what a great movie. Jk this dumb. A pointless sequel.
Neutral ,average
Positive ,The ogs are back baby
Positive ,"This is gonna be better than Jurassic park, and I don't care what people gonna say about it"
Neutral ,Please tell me someone finds the Barbasol shaving cream in this one
Positive ,eagerly waiting for the movie😍😍
Positive ,Spectacular!
Positive ,I remember the day we went to watch the movie it was amazing ????
Negative ,It's literally about Locust in the world instead of dinosaurs in the world
Neutral ,Is this the last movie?
Negative ,This was the absolute WORST movie of the franchise Complete GARBAGE 👎👎
Negative ,this looks so dumb.
Negative ,Waste movie ever.. 😬🥴
Negative ,Still looks like shit.  The original Jurassic Park is still 100x scarier and realistic.
Neutral ,Owen: its a me a mario
Negative ,Flop
Negative ,JUST AWFUL MOVIE   SAVE YOUR MONEY
Neutral ,Who is watching the movie?
Negative ,TERRIBLE MOVIE DONT WASTE YOUR MONEY
Negative ,"Cheesy ass movie, bad acting, bad cinematography.. i couldn’t wait for the movie to end"
Neutral ,The baby's name is beta. I saw it on a Lego set I think
Negative ,Boringgg
Negative ,DUMB 👎 Can't imagine they could ever surpass the quality of the 1st Jurassic Park
Negative ,They screwed this series up worse than star wars.
Negative ,This film is a blatant cash grab
Negative ,i guarantee this movie will be shit
Neutral ,Take a shot everytime chris pratt raises his hand
Negative ,These will never ever be as good as the first 3.
Negative ,Looks so bad
Negative ,lol Reptiles living in snowy climates only in Hollywood.
Negative ,Movie looks ass
Negative ,CGI is lacking.
Negative ,man this looks stupid
Negative  ,Fix the CGI!!
Positive ,All thanks to Michael crichton
Neutral ,"Life will find a way, but will not find feathers"
Neutral ,Imagine if scientists are able to bring back dinosaurs.
